Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2025.0,1.0,0.008042282993527041,0.170183448670322,0.024046421890990943,0.8228154606220347,2.523959572409693,3.549047186586568,-711.2311123458887
2025.0,2.0,0.003583737703247626,0.16610627001555928,0.023876073040809024,0.8227528573372918,2.523959572409693,3.540278510506601,-712.9933928831914
2025.0,3.0,0.0015209260805570594,0.16188968678660925,0.023436760872618968,0.8223695043093354,2.523959572409693,3.5331764504588135,-714.4270368902596
2025.0,4.0,0.0006646119138927527,0.1579184902204205,0.02291220352591748,0.8218561640232532,2.523959572409693,3.527311042093177,-715.6155151653288
2025.0,5.0,0.00041732499390479305,0.15572924263444976,0.022597218209387978,0.8215353832634923,2.523959572409693,3.5242387415109278,-716.240904271261
2025.0,6.0,0.00027099670133268303,0.15372512672866495,0.02230158380971366,0.821224481672111,2.523959572409693,3.5214817613215152,-716.8032803943181
2025.0,7.0,0.00011610977703141337,0.14986561607125912,0.02173077679389437,0.8205877898805987,2.523959572409693,3.5162598649324766,-717.8681470645838
2025.0,8.0,1.5711030868767543e-05,0.14113738939376697,0.020479261588865694,0.8189973435642351,2.523959572409693,3.5045892779874297,-720.2555922440041
2025.0,9.0,2.0431859130383496e-06,0.13275936796650126,0.019288366923489356,0.8172930875572624,2.523959572409693,3.493302438042859,-722.5794812737123
2025.0,10.0,0.07318164418173488,0.18183940618447375,0.019028916771148274,0.8169177658885135,2.523959572409693,3.6149273054355637,-698.2649570957244
2025.0,11.0,0.03425415051839404,0.17774497661857,0.02248582289671489,0.820828150031354,2.523959572409693,3.579272672474726,-705.2226189741573
2025.0,12.0,0.01657028033159487,0.1739145171267178,0.023739760846243768,0.8223441766103927,2.523959572409693,3.560528307324642,-708.9366187970578
2026.0,1.0,0.008042282993527041,0.170183448670322,0.024046418534602276,0.8228144997570147,2.523959572409693,3.549046222365159,-711.231285038923
2026.0,2.0,0.003583737703247626,0.16610627001555928,0.023876069691193897,0.8227518978276261,2.523959572409693,3.54027754764732,-712.9935662363529
2026.0,3.0,0.0015209260805570594,0.16188968678660925,0.02343675752981687,0.8223685462347662,2.523959572409693,3.5331754890414424,-714.4272107194824
2026.0,4.0,0.0006646119138927527,0.1579184902204205,0.022912200189748565,0.8218552073328217,2.523959572409693,3.5273100820665766,-715.6156893527731
2026.0,5.0,0.00041732499390479305,0.15572924263444976,0.022597214877937973,0.8215344273501024,2.523959572409693,3.5242377822660877,-716.2410786362996
2026.0,6.0,0.00027099670133268303,0.15372512672866495,0.022301580482678017,0.8212235264791241,2.523959572409693,3.521480802801493,-716.8034549145661
2026.0,7.0,0.00011610977703141337,0.14986561607125912,0.021730773473246326,0.8205868361004434,2.523959572409693,3.5162589078316735,-717.8683218726312
2026.0,8.0,1.5711030868767543e-05,0.14113738939376697,0.020479258269379567,0.8189963931111924,2.523959572409693,3.5045883242149007,-720.2557676717834
2026.0,9.0,2.0431859130383496e-06,0.13275936796650126,0.019288363605902078,0.817292140485275,2.523959572409693,3.4933014876532846,-722.5796572740672
2026.0,10.0,0.07318164418173488,0.18183940618447375,0.019028913458430937,0.8169168195432955,2.523959572409693,3.6149263557776283,-698.2651206499073
2026.0,11.0,0.03425415051839404,0.17774497661857,0.0224858195908015,0.820827204939802,2.523959572409693,3.5792717240772607,-705.2227857803524
2026.0,12.0,0.01657028033159487,0.1739145171267178,0.023739757546874664,0.8223432327165537,2.523959572409693,3.560527360131434,-708.9367872545005
2027.0,1.0,0.008042282993527041,0.170183448670322,0.02404641524165496,0.822813557053951,2.523959572409693,3.549045276369148,-711.231454437192
2027.0,2.0,0.003583737703247626,0.16610627001555928,0.0238760664048921,0.8227509564542984,2.523959572409693,3.5402766029876904,-712.9937362822394
2027.0,3.0,0.0015209260805570594,0.16188968678660925,0.02343675425019932,0.822367606269409,2.523959572409693,3.5331745457964674,-714.4273812324167
2027.0,4.0,0.0006646119138927527,0.1579184902204205,0.022912196916638816,0.8218542687254397,2.523959572409693,3.5273091401860848,-715.6158602171519
2027.0,5.0,0.00041732499390479305,0.15572924263444976,0.02259721160945795,0.8215334895050747,2.523959572409693,3.52423684115258,-716.2412496749147
2027.0,6.0,0.00027099670133268303,0.15372512672866495,0.022301577218528917,0.8212225893408825,2.523959572409693,3.521479862399102,-716.8036261054563
2027.0,7.0,0.00011610977703141337,0.14986561607125912,0.02173077021536409,0.8205859003483285,2.523959572409693,3.516257968821676,-717.8684933458815
2027.0,8.0,1.5711030868767543e-05,0.14113738939376697,0.020479255012637285,0.8189954606233023,2.523959572409693,3.5045873884702683,-720.2559397530566
2027.0,9.0,2.0431859130383496e-06,0.13275936796650126,0.019288360351022757,0.8172912113145326,2.523959572409693,3.4933005552276626,-722.5798299171045
2027.0,10.0,0.07318164418173488,0.18183940618447375,0.019028910208329523,0.8169158910855854,2.523959572409693,3.6149254240698165,-698.2652810830738
2027.0,11.0,0.03425415051839404,0.17774497661857,0.022485816347375426,0.8208262777120614,2.523959572409693,3.579270793606094,-705.2229494038094
2027.0,12.0,0.01657028033159487,0.1739145171267178,0.023739754309869167,0.8223423066638874,2.523959572409693,3.5605264308417626,-708.9369524978757
2028.0,1.0,0.008042282993527041,0.170183448670322,0.024046412010949886,0.8228126321695522,2.523959572409693,3.549044348254044,-711.2316206035518
2028.0,2.0,0.003583737703247626,0.16610627001555928,0.023876063180706918,0.8227500328745015,2.523959572409693,3.5402756761837084,-712.9939030839447
2028.0,3.0,0.0015209260805570594,0.16188968678660925,0.023436751032572027,0.8223666840709699,2.523959572409693,3.5331736203804014,-714.4275484923272
2028.0,4.0,0.0006646119138927527,0.1579184902204205,0.02291219370539632,0.8218533478593079,2.523959572409693,3.5273082161087106,-715.616027821858
2028.0,5.0,0.00041732499390479305,0.15572924263444976,0.022597208402757647,0.8215325693868875,2.523959572409693,3.524235917827693,-716.2414174505623
