Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
1,8208,0.01657028033159487,0.1739145171267178,0.023739765173774744,0.8223454146440002,2.432593443745244,3.4691634210213316,-701.3249240384132
2025,12,0.01657028033159487,0.1739145171267178,0.02373976179260807,0.8223444473492549,2.432593443745244,3.4691624503454195,-701.325099186342
2026,12,0.01657028033159487,0.1739145171267178,0.0237397584753511,0.8223434983379985,2.432593443745244,3.469161498016906,-701.3252709921835
2027,12,0.01657028033159487,0.1739145171267178,0.023739755220795845,0.8223425672646423,2.432593443745244,3.4691605636889946,-701.3254395197063
2028,12,0.01657028033159487,0.1739145171267178,0.02373975202775711,0.8223416537901306,2.432593443745244,3.4691596470214443,-701.3256048314618
2029,12,0.01657028033159487,0.1739145171267178,0.023739748895072153,0.8223407575818154,2.432593443745244,3.469158747680444,-701.3257669888087
2030,12,0.01657028033159487,0.1739145171267178,0.0237397458216002,0.8223398783133365,2.432593443745244,3.4691578653384934,-701.3259260519349
2031,12,0.01657028033159487,0.1739145171267178,0.023739742806221983,0.8223390156645033,2.432593443745244,3.469156999674282,-701.3260820798794
2032,12,0.01657028033159487,0.1739145171267178,0.023739739847839492,0.8223381693211762,2.432593443745244,3.469156150372572,-701.3262351305558
2033,12,0.01657028033159487,0.1739145171267178,0.023739736945375355,0.8223373389751542,2.432593443745244,3.469155317124086,-701.3263852607721
2034,12,0.01657028033159487,0.1739145171267178,0.02373973409777265,0.8223365243240612,2.432593443745244,3.4691544996253905,-701.3265325262522
2035,12,0.01657028033159487,0.1739145171267178,0.023739731303994413,0.8223357250712369,2.432593443745244,3.469153697578788,-701.3266769816578
2036,12,0.01657028033159487,0.1739145171267178,0.02373972856302325,0.822334940925628,2.432593443745244,3.4691529106922077,-701.3268186806063
2037,12,0.01657028033159487,0.1739145171267178,0.023739725873861032,0.8223341716016829,2.432593443745244,3.4691521386791004,-701.3269576756935
2038,12,0.01657028033159487,0.1739145171267178,0.023739723235528483,0.8223334168192477,2.432593443745244,3.4691513812583326,-701.3270940185108
2039,12,0.01657028033159487,0.1739145171267178,0.023739720647064824,0.8223326763034631,2.432593443745244,3.469150638154084,-701.3272277596656
2040,12,0.01657028033159487,0.1739145171267178,0.02373971810752746,0.8223319497846661,2.432593443745244,3.46914990909575,-701.3273589488
2041,12,0.01657028033159487,0.1739145171267178,0.023739715615991593,0.8223312369982896,2.432593443745244,3.4691491938178376,-701.3274876346085
2042,12,0.01657028033159487,0.1739145171267178,0.023739713171549926,0.8223305376847683,2.432593443745244,3.4691484920598747,-701.3276138648566
2043,12,0.01657028033159487,0.1739145171267178,0.023739710773312318,0.8223298515894423,2.432593443745244,3.4691478035663113,-701.3277376863987
2044,12,0.01657028033159487,0.1739145171267178,0.02373970842040537,0.8223291784624662,2.432593443745244,3.469147128086428,-701.327859145195
2045,12,0.01657028033159487,0.1739145171267178,0.023739706111972333,0.8223285180587162,2.432593443745244,3.469146465374245,-701.3279782863292
2046,12,0.01657028033159487,0.1739145171267178,0.02373970384717253,0.822327870137702,2.432593443745244,3.469145815188431,-701.3280951540243
2047,12,0.01657028033159487,0.1739145171267178,0.02373970162518124,0.8223272344634788,2.432593443745244,3.4691451772922166,-701.3282097916593
2048,12,0.01657028033159487,0.1739145171267178,0.02373969944518932,0.8223266108045617,2.432593443745244,3.4691445514533075,-701.328322241787
2049,12,0.01657028033159487,0.1739145171267178,0.023739697306402872,0.8223259989338417,2.432593443745244,3.469143937443801,-701.3284325461466
2050,12,0.01657028033159487,0.1739145171267178,0.023739695208043067,0.822325398628502,2.432593443745244,3.4691433350401013,-701.3285407456817
2051,12,0.01657028033159487,0.1739145171267178,0.02373969314934578,0.8223248096699373,2.432593443745244,3.4691427440228395,-701.3286468805549
2052,12,0.01657028033159487,0.1739145171267178,0.02373969112956134,0.8223242318436748,2.432593443745244,3.4691421641767928,-701.3287509901621
2053,12,0.01657028033159487,0.1739145171267178,0.02373968914795417,0.8223236649392957,2.432593443745244,3.4691415952908065,-701.3288531131476
2054,12,0.01657028033159487,0.1739145171267178,0.023739687203802682,0.8223231087503579,2.432593443745244,3.4691410371577174,-701.3289532874187
2055,12,0.01657028033159487,0.1739145171267178,0.02373968529639892,0.8223225630743215,2.432593443745244,3.469140489574277,-701.3290515501585
2056,12,0.01657028033159487,0.1739145171267178,0.023739683425048296,0.8223220277124755,2.432593443745244,3.4691399523410804,-701.3291479378422
2057,12,0.01657028033159487,0.1739145171267178,0.023739681589069313,0.8223215024698641,2.432593443745244,3.46913942526249,-701.3292424862474
2058,12,0.01657028033159487,0.1739145171267178,0.023739679787793424,0.8223209871552166,2.432593443745244,3.469138908146567,-701.3293352304702
2059,12,0.01657028033159487,0.1739145171267178,0.023739678020564644,0.8223204815808781,2.432593443745244,3.469138400804999,-701.3294262049361
2060,12,0.01657028033159487,0.1739145171267178,0.02373967628673945,0.8223199855627407,2.432593443745244,3.4691379030530367,-701.3295154434153
2061,12,0.01657028033159487,0.1739145171267178,0.02373967458568646,0.8223194989201756,2.432593443745244,3.4691374147094187,-701.3296029790321
2062,12,0.01657028033159487,0.1739145171267178,0.023739672916786216,0.8223190214759694,2.432593443745244,3.469136935596312,-701.3296888442793
2063,12,0.01657028033159487,0.1739145171267178,0.023739671279430975,0.8223185530562573,2.432593443745244,3.469136465539245,-701.3297730710304
2064,12,0.01657028033159487,0.1739145171267178,0.023739669673024485,0.8223180934904614,2.432593443745244,3.4691360043670425,-701.3298556905495
2065,12,0.01657028033159487,0.1739145171267178,0.023739668096981754,0.8223176426112282,2.432593443745244,3.4691355519117666,-701.3299367335051
